account_id,account_number,customer_id,branch_id,account_type,account_status,opened_date,current_balance
1,AC00000001,27,2,saving,Inactive,2024-01-25,96944.23
2,AC00000002,85,2,CURRENT,Inactive,2024-02-08,49644.76
3,AC00000003,98,4,saving,Dormant,2025-07-22,112669.62
4,AC00000004,65,4,CURRENT,Inactive,2023-05-22,201564.1
5,AC00000005,93,4,Fixed Deposit,Closed,2025-08-27,-5000.0
6,AC00000006,100,3,Savings,active,2025-05-26,58900.93
7,AC00000007,88,2,CURRENT,active,2022-12-15,376575.5
8,AC00000008,73,4,Savings,Active,2023-02-17,136169.07
9,AC00000009,52,3,UnknownType,Closed,2024-05-04,496724.56
10,AC00000010,87,1,Current,Inactive,2025-09-17,87248.24
11,AC00000011,66,4,Current,active,2023-11-21,496748.08
12,AC00000012,36,4,Savings,Dormant,2026-01-20,380244.08
13,AC00000013,90,1,saving,active,2023-05-30,240954.02
14,AC00000014,1,3,CURRENT,Dormant,2024-05-02,484643.53
15,AC00000015,37,2,Current,Closed,2022-09-17,238946.45
16,AC00000016,93,4,Current,active,2024-10-25,105186.24
17,AC00000017,51,1,Savings,Active,2022-11-26,331686.04
18,AC00000018,98,2,Fixed Deposit,Closed,2022-09-09,137378.41
19,AC00000019,81,1,Savings,active,2022-12-25,17096.99
20,AC00000020,1,3,Savings,Active,2023-10-01,165903.06
21,AC00000021,21,4,Fixed Deposit,Dormant,2025-08-21,354366.79
22,AC00000022,34,3,saving,Active,2025-02-06,45342.82
23,AC00000023,3,3,CURRENT,Inactive,2026-04-02,217131.5
24,AC00000024,23,2,CURRENT,active,2024-09-19,65687.7
25,AC00000025,82,4,Savings,Dormant,2024-09-20,475488.64
26,AC00000026,74,3,Current,Inactive,2024-08-04,196695.25
27,AC00000027,68,1,Fixed Deposit,active,2024-05-18,188093.69
28,AC00000028,92,4,Fixed Deposit,Dormant,2025-11-14,110389.17
29,AC00000029,24,3,CURRENT,active,2025-07-16,466064.94
30,AC00000030,13,2,Savings,Dormant,2022-10-13,361333.19
31,AC00000031,4,1,CURRENT,Dormant,2025-11-25,474976.47
32,AC00000032,93,4,saving,Inactive,2025-02-08,76053.04
33,AC00000033,70,2,CURRENT,Closed,2026-05-05,203911.06
34,AC00000034,76,1,Fixed Deposit,Closed,2023-04-10,27844.05
35,AC00000035,10,2,Fixed Deposit,Dormant,2025-04-05,135664.9
36,AC00000036,80,1,CURRENT,Inactive,2025-12-31,51313.58
37,AC00000037,15,2,saving,Dormant,2025-04-20,384940.51
38,AC00000038,49,1,Fixed Deposit,active,2024-10-29,309075.12
39,AC00000039,15,4,saving,active,2025-09-25,37760.2
40,AC00000040,30,2,CURRENT,active,2024-06-21,370120.85
41,AC00000041,80,2,Current,active,2024-11-07,239906.49
42,AC00000042,47,3,Savings,active,2026-01-26,370102.67
43,AC00000043,63,1,Current,Inactive,2026-03-21,401873.08
44,AC00000044,95,2,Savings,active,2025-06-15,123034.97
45,AC00000045,77,4,Current,Closed,2025-10-01,274975.85
46,AC00000046,78,3,Fixed Deposit,active,2023-11-29,242351.67
47,AC00000047,85,1,Current,Active,2024-08-25,145514.92
48,AC00000048,90,1,Savings,active,2023-09-08,284165.6
49,AC00000049,90,1,Savings,Active,2026-05-13,183524.23
50,AC00000050,60,1,saving,Closed,2026-01-22,172385.64
51,AC00000051,46,1,Current,active,2025-01-18,213135.33
52,AC00000052,98,3,Savings,Active,2025-06-26,229171.0
53,AC00000053,81,4,CURRENT,Inactive,2023-05-24,495016.43
