customer_id,customer_code,full_name,gender,date_of_birth,email,phone_number,city,kyc_status,created_at,updated_at
1,CUST00001,Ms. Joan Bush MD,Other,1979-01-02,charlesryan@example.org,321-505-1321,Lalitpur,pending,2025-08-30,2026-12-11
2,CUST00002,Pamela Lewis,Other,1965-12-25,davidsoncrystal@example.com,287-968-9644,Biratnagar,Verified,2022-06-19,2022-12-13
3,CUST00003,Laura Brown,Female,2005-02-05,jordanpearson@example.com,9362079856,Pokhara,pending,2024-12-20,2025-07-08
4,CUST00004,Michael Castaneda,Other,1990-12-20,invalid_email,791.932.7086x529,Kathmandu,Verified,2025-01-23,2025-10-23
5,CUST00005,Ryan Murray,,1965-10-12,jonathan40@example.org,673.638.6384,Lalitpur,verified,2024-11-09,2025-01-07
6,CUST00006,Jennifer Thomas,Male,2007-06-16,sbrown@example.net,001-652-425-9586x274,Biratnagar,Pending,2022-03-24,2022-09-23
7,CUST00007,Frank Ortiz,Female,1983-04-14,daniel67@example.net,+1-695-946-9021x914,Butwal,verified,2021-10-26,2022-02-01
8,CUST00008,Justin Thompson,Male,2001-09-20,oboone@example.net,(241)553-6798x3091,Lalitpur,Pending,2026-02-27,2026-11-05
9,CUST00009,Thomas Singleton,Other,2007-11-11,matthew73@example.org,001-747-801-3264x0570,Lalitpur,verified,2023-08-10,2023-10-15
10,CUST00010,Regina Brown,,1987-04-28,tgonzalez@example.org,609-634-1021x233,Kathmandu,Verified,2024-05-18,2024-12-10
11,CUST00011,,Female,1980-10-22,,001-961-590-5640,Lalitpur,Verified,2025-05-04,2025-12-21
12,CUST00012,Darlene Hall,Female,1957-10-24,tiffany39@example.net,(529)812-6838x339,Lalitpur,Pending,2026-02-05,2026-11-27
13,CUST00013,Megan Sparks,Male,1974-08-29,,7014049429,Pokhara,Rejected,2022-08-26,2022-12-27
14,CUST00014,Kurt Gonzales,Other,1970-08-11,obauer@example.com,274.258.2377x6214,Lalitpur,pending,2023-12-10,2024-01-16
15,CUST00015,Sarah King,,1994-07-07,dawsonbenjamin@example.com,203-669-7636x3080,Butwal,pending,2026-02-24,2026-08-17
16,CUST00016,Karen Cunningham,Male,1982-06-19,jacob41@example.net,(888)381-2158,Pokhara,verified,2025-11-09,2026-01-22
17,CUST00017,Andrew Burke,Male,1956-03-14,debra60@example.com,001-364-432-6768,Butwal,pending,2023-06-25,2023-12-11
18,CUST00018,Laura Russell,Male,2008-01-30,andersonmichael@example.org,+1-375-935-2663x750,Lalitpur,Verified,2025-05-12,2026-05-24
19,CUST00019,Nicholas Rogers,,2006-01-04,,(415)483-2667,Pokhara,Pending,2022-10-09,2023-10-10
